ObjectID	Lon	Lat	GPSTime	TrajNumber	poi1	time	state
0	29.634249678	-95.739744902	2010-10-02 19:28:27	0	4605569	38	2
0	29.5859233682	-95.5906699038	2010-10-02 20:20:40	0	370777	40	2
0	29.7860517528	-95.4654839141	2010-07-16 04:00:42	1	36646	8	2
0	29.7853582283	-95.4646800639	2010-07-16 04:01:40	1	36655	8	2
0	29.5061146333	-95.1929189667	2010-09-04 00:14:26	2	82499	0	2
0	29.7582091167	-95.3531955	2010-09-04 04:57:29	2	606250	9	2
0	29.5063266667	-95.1903826833	2010-05-29 01:40:28	3	55421	3	2
0	29.5423865318	-95.1410382986	2010-05-29 02:59:13	3	1187567	5	2
0	29.3943795	-95.2388477	2010-04-05 19:29:31	4	879313	38	2
0	29.755632	-95.355552	2010-04-05 20:42:29	4	878792	41	2
0	29.7343902588	-95.3983612061	2010-07-30 00:42:57	5	497724	1	2
0	29.7430554	-95.3971579	2010-07-30 03:38:55	5	197719	7	2
0	29.9877985723	-95.3393554688	2010-04-19 23:04:46	6	23523	46	2
0	29.9857058738	-95.3332956595	2010-04-19 23:07:00	6	729934	46	2
0	29.9858017618	-95.3331236382	2010-04-19 23:07:15	6	662368	46	8
0	29.9857577083	-95.333509381	2010-04-19 23:07:26	6	247829	46	6
0	29.98651027	-95.33250057	2010-04-19 23:07:39	6	242574	46	7
0	29.98568546	-95.33420538	2010-04-19 23:07:52	6	827115	46	6
0	29.9857025385	-95.3332826434	2010-04-19 23:08:06	6	663947	46	7
0	29.98641169	-95.33245164	2010-04-19 23:08:22	6	370911	46	8
0	29.9864121	-95.33245587	2010-04-19 23:08:42	6	458672	46	7
0	29.98641681	-95.33246523	2010-04-19 23:09:13	6	319828	46	8
0	29.9864242	-95.33244067	2010-04-19 23:09:29	6	545012	46	6
0	29.9864242	-95.33244067	2010-04-19 23:09:44	6	564088	46	7
0	29.98642772	-95.33244502	2010-04-19 23:10:01	6	535095	46	8
0	29.98642772	-95.33244502	2010-04-19 23:10:20	6	538893	46	8
0	29.9849550001	-95.335278511	2010-04-19 23:10:35	6	274118	46	0
0	29.9849550001	-95.335278511	2010-04-19 23:12:01	6	274118	46	4
0	29.52665412	-95.1243757	2010-04-25 22:25:58	7	308082	44	2
0	29.52746766	-95.1268568	2010-04-25 22:26:42	7	765893	44	2
0	29.6961053507	-95.5174541473	2010-08-14 14:37:47	8	96419	29	2
0	29.641295	-95.24459	2010-08-14 17:26:33	8	855192	34	2
0	29.7516539167	-95.3987973333	2010-05-21 01:46:40	9	166705	3	2
0	29.7991244333	-95.4103395333	2010-05-21 03:22:41	9	99106	6	2
0	29.6283253667	-95.2312354833	2010-08-03 18:37:18	10	15741	37	2
0	29.52158915	-95.12175815	2010-08-03 18:55:08	10	32539	37	2
0	29.5244444444	-95.125	2010-08-03 20:40:59	10	1553171	41	4
0	29.52810794	-95.1293922	2010-10-18 16:40:32	11	1080177	33	2
0	29.5433333333	-95.1377777778	2010-10-18 17:23:18	11	5755686	34	2
0	29.5433333333	-95.1377777778	2010-10-18 17:38:33	11	5756709	35	8
0	29.5194608	-95.12039425	2010-09-30 18:16:50	12	40265	36	2
0	29.5073892	-95.1897386	2010-09-30 19:08:41	12	800953	38	2
0	29.5092859167	-95.1896513833	2010-09-30 19:47:09	12	90255	39	7
0	29.5375912027	-95.1434361935	2010-09-30 21:21:56	12	430950	42	6
0	29.6405179	-95.24575878	2010-09-30 21:41:10	12	867756	43	7
0	29.91651985	-95.4149209333	2010-09-30 22:27:19	12	993825	44	8
0	30.0170937744	-95.5230653286	2010-09-30 23:15:36	12	887110	46	8
0	29.5423796546	-95.1478350163	2010-05-04 20:08:50	13	161329	40	2
0	29.5433651333	-95.14337605	2010-05-04 20:34:39	13	29090	41	2
0	29.7089211667	-95.0096875833	2010-09-18 02:15:10	14	866673	4	2
0	29.66457385	-95.099925	2010-09-18 02:29:37	14	49698	4	2
0	29.5194608	-95.12039425	2010-09-15 00:19:26	15	40265	0	2
0	29.5192097	-95.12050675	2010-09-15 00:20:23	15	838893	0	2
0	29.519154941	-95.120495585	2010-09-15 00:20:45	15	2069935	0	7
0	29.5099478	-95.1873786	2010-06-25 19:52:55	16	813552	39	2
0	29.5073892	-95.1897386	2010-06-25 22:57:06	16	800953	45	2
0	29.52158915	-95.12175815	2010-06-25 23:26:22	16	32539	46	7
0	29.52158915	-95.12175815	2010-06-08 21:24:31	17	32539	42	2
0	29.544437858	-95.141467948	2010-06-08 21:38:54	17	1246548	43	2
0	29.5379564167	-95.1489564167	2010-10-08 18:53:05	18	205857	37	2
0	29.7569822416	-95.3424453735	2010-10-08 23:43:10	18	218344	47	2
0	29.5579379797	-95.2702134848	2010-05-08 00:06:16	19	1080234	0	2
0	29.5423796546	-95.1478350163	2010-05-08 01:06:09	19	161329	2	2
0	29.7531276031	-95.4069285431	2010-08-07 00:49:53	20	35928	1	2
